ID	Широта	\Долгота	Регион	Тип региона	\Тип области	Область	Полный адрес	Размещение
529360	55.655923	37.541505	Москва	г	г	Москва	г. Москва, ул. Профсоюзная, д. 61, корп. А	ТЦ "Калужский", входная группа (1 этаж)
529366	55.670133	37.552418	Москва	г	г	Москва	г. Москва, ул. Профсоюзная, д. 56	Бизнес Центр «Cherry Tower» (1 этаж)
529368	55.783686	37.560107	Москва	г	г	Москва	г. Москва, Ленинградский просп., д. 31А, стр. 1	Бизнес Центр «МонАрх», около лифта к магазину "Перекресток" (1 этаж)
529372	55.619560	37.464870	Москва	г	п	Мосрентген	Москва г., п. Мосрентген, Ленинский район, пос. Мосрентген	ООО ПП "Автострой"
529376	55.746765	37.626585	Москва	г	г	Москва	г. Москва, ул. Балчуг, д. 7	Д/О № 099/1009 Банка ГПБ (АО) "Балчуг" (1 этаж), зона 24
529380	55.617276	37.715622	Москва	г	г	Москва	г. Москва, Каширское ш., д. 61, стр. 3А, корп. 1	АТЦ "Москва"
529383	55.790483	37.747034	Москва	г	г	Москва	г. Москва, Измайловское ш., д. 71, корп. 3В	ЗАО Туристическо-гостиничный комплекс "ВЕГА"
529385	55.756386	 37.604942	Москва	г	г	Москва	г. Москва,  ул. Б. Никитская, д 13/6, стр.1	Кафе «Кофемания»
529390	55.983658	37.173718	Москва	г	г	Зеленоград	Москва г., г. Зеленоград, Г.О. Зеленоград, ул. Гоголя, д. 2	БЦ "ЭКО Траст", вход в супермаркет "Лента"
529392	55.731250	37.666068	Москва	г	г	Москва	г. Москва, 3-ий Крутицкий пер., д. 11	Д/О № 099/1011 Банка ГПБ (АО) "Волгоградский", зона 24
529399	55.640226	37.621938	Москва	г	г	Москва	г. Москва, Варшавское ш., д. 95, корп. 1	МОТЦ "Аэробус", Д/О № 099/1019 Банка ГПБ (АО) "Чертановский"
529402	55.845501	37.576142	Москва	г	г	Москва	г. Москва, Гостиничный пр-д, д. 8, корп. 1	Гостиница "Шерстон" (1 этаж)
529403	55.869219	37.663043	Москва	г	г	Москва	г. Москва, ул. Енисейская, д. 19	ТЦ "Радужный" (1 этаж)
529404	55.679428	37.533885	Москва	г	г	Москва	г. Москва, Ленинский просп., д. 87	ДО № 099/1033 Банка ГПБ (АО) "Ленинский Проспект", зона 24
529409	55.867171	37.704140	Москва	г	г	Москва	г. Москва, Ярославское ш., д. 69	Универсам "Для всей семьи" (1 этаж), ООО "Долина Детства"
529410	55.776775	37.581460	Москва	г	г	Москва	г. Москва, пл. Тверской Заставы, д. 7	Белорусский вокзал (ЗАО "РЖД-Сервис")
529417	55.754968	37.509262	Москва	г	г	Москва	г. Москва, Береговой проезд, владение 5	ТЦ Фили Град
529419	55.576239	37.477361	Москва	г	г	Москва	г. Москва, Ленинский р-н, пос. Газопровод, 2 км от МКАД, ул. Бачуринская	Автосалон ГАЛФ "Автопремьер", АПК (Административно-производственное здание)
529424	55.664695	37.562443	Москва	г	г	Москва	г. Москва, ул. Новочеремушкинская, д. 65	ООО "Газпром Нефть Шельф"
529425	55.792903	37.632493	Москва	г	г	Москва	г. Москва, Рижская пл., д. 1	Рижский вокзал (ОАО "РЖД", ЗАО "РЖД-Сервис")
529426	55.659926	37.538034	Москва	г	г	Москва	г. Москва, Старокалужское ш., д. 62, стр. 2	ЗАО "Газтелеком"
529430	55.606670	37.536284	Москва	г	г	Москва	г. Москва, Новоясеневский просп., д. 11	ТРЦ "Золотой Вавилон Ясенево" (1 этаж)
529431	55.863106	37.602049	Москва	г	г	Москва	г. Москва, ул. Декабристов, д. 12	ТРЦ "Золотой Вавилон Отрадное" (1 этаж)
529437	55.643842	37.796887	Москва	г	г	Москва	г. Москва, р-он Капотня, 2-ой квартал, д. 1, корп. 3	Московский НПЗ, ОАО «Газпромнефть-МНПЗ»
